pub_date	title	venue	excerpt	citation	url_slug	paper_url
2013-10-01	Falloc: Fair Network Bandwidth Allocation in IaaS Datacenters Via a Bargaining Game Approach	Proc. of IEEE ICNP	Abstract	Todo	Fair-Network-Bandwidth-Allocation-in-IaaS-Datacenters-Via-a-Bargaining-Game-Approach	https://JiahaiHu.github.io/files/icnp2013-fangmingliu.pdf
2013-08-01	Carbon-aware Load Balancing for Geo-distributed Cloud Services	Proc. of IEEE MASCOTS	Abstract	Todo	Carbon-aware-Load-Balancing-for-Geo-distributed-Cloud-Services	https://JiahaiHu.github.io/files/mascots2013-carbon-fangmingliu.pdf
2013-05-01	MultiGreen: Cost-Minimizing Multi-source Datacenter Power Supply with Online Control	Proc. of ACM e-Energy	Abstract	Todo	Cost-Minimizing-Multi-source-Datacenter-Power-Supply-with-Online-Control	https://JiahaiHu.github.io/files/MultiGreen.pdf
2013-04-01	On Arbitrating the Power-Performance Tradeoff in SaaS Clouds	Proc. of IEEE INFOCOM	Abstract	Todo	On-Arbitrating-the-Power-Performance-Tradeoff-in-SaaS-Clouds	https://JiahaiHu.github.io/files/infocom-saas-cloud.pdf
2013-04-01	A Cooperative Game Based Allocation for Sharing Data Center Networks	Proc. of IEEE INFOCOM	Abstract	Todo	A-Cooperative-Game-Based-Allocation-for-Sharing-Data-Center-Networks	https://JiahaiHu.github.io/files/infocom-datacenter-game.pdf
2013-04-01	eTime: Energy-Efficient Transmission between Cloud and Mobile Devices	Proc. of IEEE INFOCOM	Abstract	Todo	Energy-Efficient-Transmission-between-Cloud-and-Mobile-Devices	https://JiahaiHu.github.io/files/infocom-etime.pdf
2013-04-01	A Framework for Truthful Online Auctions in Cloud Computing with Heterogeneous User Demands	Proc. of IEEE INFOCOM	Abstract	Todo	A-Framework-for-Truthful-Online-Auctions-in-Cloud-Computing-with-Heterogeneous-User-Demands	https://JiahaiHu.github.io/files/infocom-cloud-auctions.pdf
2013-07-01	SmartDPSS: Cost-Minimizing Multi-source Power Supply for Datacenters with Arbitrary Demand	Proc. of IEEE ICDCS	Abstract	Todo	Cost-Minimizing-Multi-source-Power-Supply-for-Datacenters-with-Arbitrary-Demand	https://JiahaiHu.github.io/files/PID2722069.pdf
2013-06-01	Online Control of Datacenter Power Supply Under Uncertain Demand and Renewable Energy	Proc. of IEEE	Abstract	Todo	Online-Control-of-Datacenter-Power-Supply-Under-Uncertain-Demand-and-Renewable-Energy	https://JiahaiHu.github.io/files/dpss.pdf
2013-10-01	Boosting MapReduce with Network-Aware Task Assignment	Proc. of ICST CLOUDCOMP	Abstract	Todo	Boosting-MapReduce-with-Network-Aware-Task-Assignment	https://JiahaiHu.github.io/files/cloudcomp2013.pdf
2014-03-01	Multi-Player Gaming in Public Transport Crowd: Opportunities and Challenges	IEEE World Forum on Internet of Things (WF-IoT)	Abstract	Todo	Multi-Player-Gaming-in-Public-Transport-Crowd	https://JiahaiHu.github.io/files/wf-iot2014.pdf
2012-12-01	Lifetime or Energy: Consolidating Servers with Reliability Control in Virtualized Cloud Datacenters	Proc. of IEEE CloudCom	Abstract	Todo	Consolidating-Servers-with-Reliability-Control-in-Virtualized-Cloud-Datacenters	https://JiahaiHu.github.io/files/race.pdf
2011-09-01	Collaborative Caching for Video Streaming among Selfish Wireless Service Providers	Proc. of IEEE GLOBECOM	Abstract	Todo	Collaborative-Caching-for-Video-Streaming-among-Selfish-Wireless-Service-Providers	https://ieeexplore.ieee.org/abstract/document/6134330
2012-06-01	Discovering a Large-scale Internet Topology: Complementary and Contrast View	Proc. of 11th IEEE International Conference on Ubiquitous Computing and Communications (IUCC)	Abstract	Todo	Discovering-a-Large-scale-Internet-Topology	https://JiahaiHu.github.io/files/PID2358807.pdf
